VG, IG, ID, logID, ID^0.5
-8.0,-2.31E-12,9.050000000000001E-13,-12.043351420794796,9.513148795220225E-7
-7.8,-1.3090000000000002E-12,7.78E-13,-12.10902040301031,8.820430828479978E-7
-7.6000000000000005,-1.04E-12,6.740000000000001E-13,-12.17134010346468,8.209750300709517E-7
-7.4,-8.150000000000001E-13,5.260000000000001E-13,-12.279014255846262,7.252585745787499E-7
-7.2,-6.57E-13,4.4300000000000003E-13,-12.35359627377693,6.655824516917495E-7
-7.0,-5.34E-13,4.1800000000000004E-13,-12.378823718224965,6.465291950097846E-7
-6.8,-4.71E-13,3.75E-13,-12.425968732272281,6.123724356957945E-7
-6.6000000000000005,-4.0700000000000003E-13,3.1200000000000003E-13,-12.505845405981557,5.585696017507577E-7
-6.4,-3.3E-13,3.26E-13,-12.48678239993206,5.70964096944808E-7
-6.2,-2.8800000000000004E-13,2.8900000000000003E-13,-12.539102157243452,5.375872022286245E-7
-6.0,-2.0100000000000003E-13,2.93E-13,-12.53313237964589,5.412947441089744E-7
-5.8,-1.58E-13,2.7600000000000004E-13,-12.559090917934782,5.253570214625479E-7
-5.6000000000000005,-8.400000000000001E-14,2.6E-13,-12.585026652029182,5.099019513592785E-7
-5.4,-3.5E-14,2.38E-13,-12.623423042943488,4.878524367060188E-7
-5.2,5.6E-14,2.36E-13,-12.627087997029893,4.857983120596448E-7
-5.0,1.2100000000000001E-13,2.82E-13,-12.549750891680638,5.310367218940702E-7
-4.8,2.79E-13,2.55E-13,-12.593459819566045,5.049752469181039E-7
-4.6000000000000005,4.1900000000000003E-13,3.31E-13,-12.480172006224281,5.753259945457011E-7
-4.4,5.83E-13,4.3900000000000005E-13,-12.357535479757878,6.625707509390978E-7
-4.2,7.07E-13,5.770000000000001E-13,-12.238824186844269,7.596051605933178E-7
-4.0,7.190000000000001E-13,8.18E-13,-12.087246696328677,9.044335243676011E-7
-3.8000000000000003,6.870000000000001E-13,1.2840000000000002E-12,-11.891434976267165,1.1331372379372236E-6
-3.6,5.800000000000001E-13,1.879E-12,-11.726073219899474,1.370766209096212E-6
-3.4,5.17E-13,2.77E-12,-11.557520230935552,1.6643316977093238E-6
-3.2,4.35E-13,4.199E-12,-11.37685412536206,2.049146163649631E-6
-3.0,3.74E-13,6.393000000000001E-12,-11.194295295566135,2.528438253151538E-6
-2.8000000000000003,3.6000000000000003E-13,9.765000000000001E-12,-11.010327752376126,3.124899998399949E-6
-2.6,3.15E-13,1.4908000000000002E-11,-10.826580615918198,3.861087929586686E-6
-2.4,2.8900000000000003E-13,2.2923000000000003E-11,-10.63972854559706,4.78779698817734E-6
-2.2,2.67E-13,3.5311E-11,-10.452089983135506,5.942305949713461E-6
-2.0,3.0200000000000003E-13,5.503500000000001E-11,-10.259361029188371,7.418557811326944E-6
-1.8,3.4E-13,8.636600000000001E-11,-10.063657194077782,9.293330942132643E-6
-1.6,4.0700000000000003E-13,1.3747300000000002E-10,-9.861782589851444,1.1724888059167132E-5
-1.4000000000000001,5.310000000000001E-13,2.20885E-10,-9.65583377547495,1.4862200375449122E-5
-1.2,7.380000000000001E-13,3.59592E-10,-9.444189978770018,1.8962911168910748E-5
-1.0,9.15E-13,5.937430000000001E-10,-9.226401497500625,2.4366842224629767E-5
-0.8,8.01E-13,9.958250000000001E-10,-9.001816975042122,3.155669501072633E-5
-0.6,-6.600000000000001E-14,1.69424E-9,-8.771025069039057,4.1161146728437974E-5
-0.4,2.1000000000000001E-13,2.95414E-9,-8.529568926834928,5.435200088313217E-5
-0.2,2.71E-13,5.22978E-9,-8.281516580118504,7.231721786683999E-5
0.0,2.3100000000000003E-13,9.40841E-9,-8.026483765156355,9.699695871520921E-5
0.2,3.9000000000000004E-14,1.74102E-8,-7.759196239887983,1.3194771691848252E-4
0.4,2.1600000000000001E-13,3.17143E-8,-7.498744869935518,1.780850920206405E-4
0.6,2.2500000000000003E-13,5.66279E-8,-7.246969543535443,2.3796617406681984E-4
0.8,2.67E-13,9.761829999999998E-8,-7.01046875975108,3.1243927409978407E-4
1.0,9.200000000000001E-14,1.6364E-7,-6.786110529173664,4.045244121187249E-4
1.2,2.49E-13,2.5477E-7,-6.593851712920364,5.047474616082779E-4
1.4000000000000001,2.8900000000000003E-13,3.7857E-7,-6.421853804927642,6.152804238719122E-4
1.6,3.19E-13,5.40823E-7,-6.266944847094748,7.354066902061743E-4
1.8,3.07E-13,7.44335E-7,-6.128231559203093,8.627485149219326E-4
2.0,3.89E-13,9.93882E-7,-6.002665174748476,9.969363068922708E-4
2.2,3.5800000000000004E-13,1.3139800000000001E-6,-5.8814112450926315,0.0011462896667073293
2.4,5.1E-13,1.6599700000000002E-6,-5.779899760726324,0.001288398230362026
2.6,6.09E-13,2.0612000000000003E-6,-5.685879866210962,0.001435687988387449
2.8000000000000003,7.870000000000001E-13,2.5180200000000004E-6,-5.598940824722539,0.0015868270227091547
3.0,9.15E-13,3.03448E-6,-5.517915720562132,0.0017419758896150084
3.2,1.1940000000000002E-12,3.6078700000000002E-6,-5.442749119494785,0.0018994393909782961
3.4,1.5010000000000002E-12,4.244660000000001E-6,-5.372157091294593,0.0020602572654889488
3.6,1.842E-12,4.94092E-6,-5.306192177853109,0.002222818031238725
3.8000000000000003,2.3410000000000002E-12,5.698370000000001E-6,-5.244249355071734,0.0023871258869192467
4.0,2.653E-12,6.518290000000001E-6,-5.1858663215944025,0.0025530942011606234
4.2,3.4830000000000004E-12,7.400990000000001E-6,-5.130710182596135,0.002720476061280452
4.4,4.212E-12,8.347160000000001E-6,-5.078461261777165,0.002889145202304654
4.6000000000000005,5.28E-12,9.350060000000001E-6,-5.029185602219963,0.003057786781317494
4.8,6.2830000000000006E-12,1.0411830000000001E-5,-4.982472931483341,0.003226736741663317
5.0,7.599000000000001E-12,1.1570700000000001E-5,-4.936640366463867,0.0034015731654632978
5.2,9.422000000000001E-12,1.27365E-5,-4.894949900063489,0.003568823335498691
5.4,1.1043000000000001E-11,1.39571E-5,-4.855204809852747,0.0037359202346945257
5.6000000000000005,1.3297E-11,1.52254E-5,-4.8174312888093205,0.0039019738594716392
5.8,1.5819E-11,1.65348E-5,-4.781601053814789,0.004066300529965782
6.0,1.8454E-11,1.79074E-5,-4.746967465386119,0.004231713600895032
6.2,2.2040000000000002E-11,1.93023E-5,-4.714390938774894,0.004393438289085213
6.4,2.5553E-11,2.07121E-5,-4.683775865752822,0.004551054822785593
6.6000000000000005,2.9912E-11,2.2157E-5,-4.65448904230305,0.004707122263124254
6.8,3.4283000000000003E-11,2.36417E-5,-4.626321297923009,0.004862273130954287
7.0,3.9677000000000006E-11,2.5133300000000002E-5,-4.599750484837647,0.005013312278324581
7.2,4.6156000000000003E-11,2.66625E-5,-4.574099131542515,0.005163574343417552
7.4,5.2924000000000005E-11,2.81731E-5,-4.5501653632087224,0.005307833833118742
7.6000000000000005,5.9387E-11,2.97373E-5,-4.5266984658185185,0.005453191725952793
7.8,6.675400000000001E-11,3.12836E-5,-4.50468327574733,0.005593174411727208
8.0,7.547900000000001E-11,3.28551E-5,-4.483397206623455,0.005731936845430173
8.2,8.437E-11,3.44543E-5,-4.462756569119646,0.005869778530745432
8.4,9.3466E-11,3.59897E-5,-4.44382177348845,0.005999141605263206
8.6,1.0508700000000001E-10,3.75472E-5,-4.42542244400973,0.0061275770089000104
8.8,1.16997E-10,3.91023E-5,-4.407797696621249,0.006253183189384427
9.0,1.29659E-10,4.06916E-5,-4.390495233284841,0.006378996786329336
9.200000000000001,1.4376500000000002E-10,4.22276E-5,-4.374403600942501,0.006498276694632201
9.4,1.57857E-10,4.38411E-5,-4.358118557672938,0.006621261209165517
9.6,1.7414700000000001E-10,4.5405800000000005E-5,-4.342888668131677,0.006738382595252366
9.8,1.91126E-10,4.70067E-5,-4.32784023641216,0.00685614323070923
10.0,2.09965E-10,4.85869E-5,-4.313480809433444,0.006970430402780017
