VG, IG, ID, logID, ID^0.5
-8.0,-5.5E-12,3.9190000000000006E-12,-11.406824736521898,1.979646433078392E-6
-7.8,-4.3350000000000004E-12,4.113E-12,-11.385841290490825,2.0280532537386685E-6
-7.6000000000000005,-4.586E-12,4.7320000000000004E-12,-11.324955264044107,2.1753160689885967E-6
-7.4,-5.246E-12,5.414E-12,-11.266481748565512,2.3268003782017914E-6
-7.2,-5.5340000000000005E-12,5.593E-12,-11.252355180671751,2.3649524308112414E-6
-7.0,-5.4680000000000005E-12,5.487E-12,-11.260665039803921,2.342434630891543E-6
-6.8,-5.132E-12,5.1970000000000006E-12,-11.284247283177141,2.2796929617823537E-6
-6.6000000000000005,-4.947000000000001E-12,4.953E-12,-11.305131672017543,2.2255336438706113E-6
-6.4,-4.918000000000001E-12,5.060000000000001E-12,-11.2958494831602,2.2494443758403987E-6
-6.2,-5.112E-12,5.336000000000001E-12,-11.272784179091508,2.309978354876946E-6
-6.0,-4.919E-12,5.7150000000000006E-12,-11.242983765268699,2.390606617576384E-6
-5.8,-5.5420000000000004E-12,7.137000000000001E-12,-11.14648430324307,2.6715164233071826E-6
-5.6000000000000005,-6.281E-12,7.975E-12,-11.098269308270782,2.824004249288588E-6
-5.4,-6.4570000000000005E-12,7.316E-12,-11.135726303195622,2.7048105294086683E-6
-5.2,-8.080000000000001E-12,9.039000000000001E-12,-11.04387961360698,3.006492973549082E-6
-5.0,-7.467000000000001E-12,1.0203000000000001E-11,-10.991272113347616,3.194213518223226E-6
-4.8,-8.788E-12,1.1732E-11,-10.930627945691485,3.425200724045235E-6
-4.6000000000000005,-1.0809E-11,1.2154000000000002E-11,-10.915280767988703,3.4862587396806913E-6
-4.4,-1.078E-11,1.4088E-11,-10.85115065704078,3.7533984600625604E-6
-4.2,-1.5893000000000003E-11,1.7845E-11,-10.74848344770832,4.224334267076885E-6
-4.0,-1.7577000000000002E-11,1.9628E-11,-10.707123950691122,4.430349873317004E-6
-3.8000000000000003,-1.8466E-11,1.4436000000000002E-11,-10.84055312661253,3.7994736477570154E-6
-3.6,-7.744000000000001E-12,1.1955E-11,-10.922450419548206,3.457600323924094E-6
-3.4,-6.7800000000000006E-12,1.3038000000000002E-11,-10.884789023295832,3.610817082046666E-6
-3.2,-6.602E-12,1.693E-11,-10.771343041891065,4.114608122288197E-6
-3.0,-6.6880000000000006E-12,2.0825000000000003E-11,-10.681414989921175,4.563441683641854E-6
-2.8000000000000003,-6.743000000000001E-12,2.7006000000000003E-11,-10.568539736677877,5.19672974090437E-6
-2.6,-6.2020000000000004E-12,3.5222E-11,-10.453185987258495,5.9348125496935455E-6
-2.4,-5.778000000000001E-12,4.9391000000000006E-11,-10.306352180761202,7.02787307796605E-6
-2.2,-5.788000000000001E-12,6.9358E-11,-10.158903438621335,8.328145051570607E-6
-2.0,-5.188E-12,9.9164E-11,-10.003645963319196,9.958112270907574E-6
-1.8,-4.434000000000001E-12,1.47048E-10,-9.83254087795644,1.2126334978054994E-5
-1.6,-4.454E-12,2.2183200000000002E-10,-9.653975805251791,1.4894025647889828E-5
-1.4000000000000001,-3.712E-12,3.38886E-10,-9.469946372290787,1.840885656416498E-5
-1.2,-3.3030000000000004E-12,5.259810000000001E-10,-9.279029943572858,2.29342756589346E-5
-1.0,-3.2650000000000003E-12,8.27953E-10,-9.08199431589627,2.8774172446831553E-5
-0.8,-3.581E-12,1.33648E-9,-8.874037535938218,3.655789928319186E-5
-0.6,-2.599E-12,2.16445E-9,-8.664652442179262,4.652364989980902E-5
-0.4,-2.1250000000000003E-12,3.5534E-9,-8.449355901991437,5.9610401776871125E-5
-0.2,-2.039E-12,5.94499E-9,-8.225848871566479,7.710376125715269E-5
0.0,-1.897E-12,1.004346E-8,-7.998116645752497,1.0021706441519828E-4
0.2,-2.377E-12,1.7790399999999998E-8,-7.749814287113388,1.3338065826798125E-4
0.4,-1.8740000000000003E-12,3.04313E-8,-7.516679494544,1.744456935553297E-4
0.6,-1.573E-12,5.1723799999999996E-8,-7.286309576243159,2.2742867013637484E-4
0.8,-1.412E-12,8.619119999999999E-8,-7.064537072766168,2.93583378276087E-4
1.0,-1.5400000000000001E-12,1.44547E-7,-6.839990917462476,3.80193371851746E-4
1.2,-1.162E-12,2.21419E-7,-6.654785114978928,4.705518037368468E-4
1.4000000000000001,-8.67E-13,3.26929E-7,-6.48554655393366,5.717770544539191E-4
