VG, IG, ID, logID, ID^0.5
-5.0,-8.488900000000001E-11,1.1451E-11,-10.941156585331239,3.3839326234427303E-6
-4.8,-6.773000000000001E-11,1.0804000000000001E-11,-10.966415424484588,3.2869438693108226E-6
-4.6000000000000005,-5.9218E-11,9.724E-12,-11.012155049828701,3.1183328879386817E-6
-4.4,-5.1235000000000005E-11,9.280000000000001E-12,-11.032452023781138,3.0463092423455634E-6
-4.2,-4.4951000000000006E-11,8.05E-12,-11.094204119632131,2.8372521918222215E-6
-4.0,-3.9512000000000005E-11,7.470000000000001E-12,-11.126679398184601,2.73313007374329E-6
-3.8000000000000003,-3.5234E-11,6.968E-12,-11.156891858000392,2.639696952303427E-6
-3.6,-3.1921E-11,6.9090000000000005E-12,-11.160584807316106,2.6284976697726023E-6
-3.4,-2.8495E-11,6.159000000000001E-12,-11.210489795909746,2.481733265280538E-6
-3.2,-2.5429E-11,5.738000000000001E-12,-11.241239456090021,2.3954122818421053E-6
-3.0,-2.2786E-11,5.267E-12,-11.27843668164252,2.294994553370443E-6
-2.8000000000000003,-1.999E-11,4.738E-12,-11.324404943613255,2.1766947420343536E-6
-2.6,-1.7513000000000003E-11,4.631E-12,-11.334325219006107,2.1519758362955657E-6
-2.4,-1.4876000000000002E-11,4.351E-12,-11.361410916707284,2.085905079336066E-6
-2.2,-1.2087E-11,4.993E-12,-11.30163843394489,2.234502181695064E-6
-2.0,-9.320000000000001E-12,1.3700000000000002E-11,-10.863279432843592,3.70135110466435E-6
-1.8,-7.066000000000001E-12,7.551E-11,-10.121995529731976,8.689649014776144E-6
-1.6,-5.212E-12,4.29928E-10,-9.366604269585242,2.073470520648895E-5
-1.4000000000000001,-7.366E-12,1.97215E-9,-8.705060056081004,4.440889550529263E-5
-1.2,-2.9220000000000003E-12,8.46974E-9,-8.072129921227546,9.203119036500615E-5
-1.0,-5.819E-12,2.76353E-8,-7.558535816494278,1.6623868382539605E-4
-0.8,-1.621E-12,7.970309999999999E-8,-7.09852478667526,2.823173745981639E-4
-0.6,-4.115E-12,1.8737E-7,-6.727299943210414,4.3286256479395396E-4
-0.4,-6.54E-13,3.87204E-7,-6.4120601648735756,6.222571815575936E-4
-0.2,-1.89E-13,7.100789999999999E-7,-6.148693331061971,8.426618538892097E-4
0.0,-1.3570000000000002E-12,1.1881100000000002E-6,-5.92514334876437,0.001090004587146311
0.2,3.43E-13,1.83768E-6,-5.735730111194456,0.0013556105635469209
0.4,7.48E-13,2.6837200000000004E-6,-5.571262797295249,0.00163820633621043
0.6,1.0960000000000002E-12,3.7439000000000003E-6,-5.426675759834623,0.0019349160188493972
0.8,1.523E-12,5.03379E-6,-5.298104906337032,0.0022436109288377073
1.0,1.9820000000000002E-12,6.566720000000001E-6,-5.182651501307566,0.0025625612187809292
1.2,2.4470000000000004E-12,8.35403E-6,-5.078103969481353,0.0028903338907468805
1.4000000000000001,3.1030000000000004E-12,1.0403890000000001E-5,-4.982804248233715,0.003225506161829489
1.6,1.9700000000000003E-12,1.27658E-5,-4.893951963883715,0.0035729259718051817
1.8,4.3950000000000006E-12,1.53725E-5,-4.813255498283314,0.003920777984023069
2.0,5.5100000000000006E-12,1.82543E-5,-4.738634816341541,0.004272505119950121
2.2,6.7490000000000004E-12,2.14318E-5,-4.668941352185479,0.004629449211299331
2.4,8.109000000000001E-12,2.49118E-5,-4.603594891418739,0.004991172207007087
2.6,9.642000000000001E-12,2.86896E-5,-4.542275506790731,0.005356267357031387
2.8000000000000003,1.1434000000000002E-11,3.27737E-5,-4.484474526000157,0.005724831875260618
3.0,1.3351000000000002E-11,3.71588E-5,-4.429938319484457,0.006095801834049398
3.2,1.5433000000000002E-11,4.18444E-5,-4.378362655038246,0.006468724758404859
3.4,1.7483E-11,4.6844E-5,-4.329346027695387,0.006844267674484978
3.6,1.9604E-11,5.2129E-5,-4.2829206061423735,0.007220041551126974
3.8000000000000003,2.1766E-11,5.7714900000000005E-5,-4.238712052486983,0.007597032315318924
4.0,2.3933E-11,6.35771E-5,-4.196699285838066,0.007973524941956349
4.2,2.5965E-11,6.972220000000001E-5,-4.156628917706823,0.00834998203590882
4.4,2.8184000000000002E-11,7.6151E-5,-4.118324389220515,0.00872645403356942
4.6000000000000005,3.0342E-11,8.28231E-5,-4.081848518246852,0.0091007197517559
4.8,3.2677000000000004E-11,8.97446E-5,-4.046991673788716,0.009473362655361611
5.0,3.5203000000000005E-11,9.68916E-5,-4.013713872399988,0.009843353087236077
5.2,3.8154E-11,1.042685E-4,-3.9818468741469064,0.010211194837040374
5.4,4.1621E-11,1.118708E-4,-3.9512832562218527,0.010576899356616758
5.6000000000000005,4.4197000000000006E-11,1.1998400000000001E-4,-3.920876663744034,0.010953720829015134
5.8,4.9045000000000004E-11,1.2791700000000002E-4,-3.893071734523889,0.011310039787728423
6.0,5.4498E-11,1.3611500000000002E-4,-3.8660940125022645,0.011666833332142875
6.2,6.0522E-11,1.44585E-4,-3.839876760673138,0.01202435029429865
6.4,6.738800000000001E-11,1.5325900000000002E-4,-3.814574012499147,0.012379781904379415
6.6000000000000005,7.558400000000001E-11,1.62131E-4,-3.7901339386261372,0.01273306718744545
6.8,8.511400000000001E-11,1.71172E-4,-3.766567274939323,0.013083271762063189
7.0,9.541800000000001E-11,1.80599E-4,-3.7432846587605213,0.013438712735972892
7.2,1.0838500000000001E-10,1.8994900000000002E-4,-3.7213629884773844,0.013782198663493428
7.4,1.2315E-10,1.9957700000000002E-4,-3.6998895098854887,0.01412717239931615
